"","kom_b4","kommnr","fylke","fylke_b4"
"1",301,301,3,3
"2",1101,1101,11,11
"3",1103,1103,11,11
"4",1106,1106,11,11
"5",1111,1111,11,11
"6",1112,1112,11,11
"7",1114,1114,11,11
"8",1119,1119,11,11
"9",1120,1120,11,11
"10",1121,1121,11,11
"11",1122,1122,11,11
"12",1124,1124,11,11
"13",1127,1127,11,11
"14",1130,1130,11,11
"15",1133,1133,11,11
"16",1134,1134,11,11
"17",1135,1135,11,11
"18",1144,1144,11,11
"19",1145,1145,11,11
"20",1146,1146,11,11
"21",1149,1149,11,11
"22",1151,1151,11,11
"23",1511,1511,15,15
"24",1514,1511,15,15
"25",1515,1515,15,15
"26",1516,1516,15,15
"27",1517,1517,15,15
"28",1520,1520,15,15
"29",1525,1525,15,15
"30",1528,1528,15,15
"31",1531,1531,15,15
"32",1532,1532,15,15
"33",1535,1535,15,15
"34",1539,1539,15,15
"35",1547,1547,15,15
"36",1554,1554,15,15
"37",1557,1557,15,15
"38",1560,1560,15,15
"39",1563,1563,15,15
"40",1566,1566,15,15
"41",1573,1573,15,15
"42",1804,1804,18,18
"43",1845,1804,18,18
"44",1811,1811,18,18
"45",1812,1812,18,18
"46",1813,1813,18,18
"47",1815,1815,18,18
"48",1816,1816,18,18
"49",1818,1818,18,18
"50",1820,1820,18,18
"51",1822,1822,18,18
"52",1824,1824,18,18
"53",1825,1825,18,18
"54",1826,1826,18,18
"55",1827,1827,18,18
"56",1828,1828,18,18
"57",1832,1832,18,18
"58",1833,1833,18,18
"59",1834,1834,18,18
"60",1835,1835,18,18
"61",1836,1836,18,18
"62",1837,1837,18,18
"63",1838,1838,18,18
"64",1839,1839,18,18
"65",1840,1840,18,18
"66",1841,1841,18,18
"67",1848,1848,18,18
"68",1851,1851,18,18
"69",1853,1853,18,18
"70",1856,1856,18,18
"71",1857,1857,18,18
"72",1859,1859,18,18
"73",1860,1860,18,18
"74",1865,1865,18,18
"75",1866,1866,18,18
"76",1867,1867,18,18
"77",1868,1868,18,18
"78",1870,1870,18,18
"79",1911,1870,18,19
"80",1871,1871,18,18
"81",1874,1874,18,18
"82",1141,1103,11,11
"83",1142,1103,11,11
"84",1102,1108,11,11
"85",1129,1108,11,11
"86",1502,1506,15,15
"87",1543,1506,15,15
"88",1545,1506,15,15
"89",1504,1507,15,15
"90",1534,1507,15,15
"91",1529,1507,15,15
"92",1523,1507,15,15
"93",1546,1507,15,15
"94",1519,1577,15,15
"95",1444,1577,15,14
"96",1526,1578,15,15
"97",1524,1578,15,15
"98",1548,1579,15,15
"99",1551,1579,15,15
"100",1805,1806,18,18
"101",1854,1806,18,18
"102",1850,1806,18,18
"103",1849,1875,18,18
"104",101,3001,30,1
"105",104,3002,30,1
"106",136,3002,30,1
"107",105,3003,30,1
"108",106,3004,30,1
"109",602,3005,30,6
"110",625,3005,30,6
"111",711,3005,30,7
"112",604,3006,30,6
"113",605,3007,30,6
"114",111,3011,30,1
"115",118,3012,30,1
"116",119,3013,30,1
"117",124,3014,30,1
"118",125,3014,30,1
"119",123,3014,30,1
"120",138,3014,30,1
"121",122,3014,30,1
"122",127,3015,30,1
"123",128,3016,30,1
"124",135,3017,30,1
"125",137,3018,30,1
"126",211,3019,30,2
"127",213,3020,30,2
"128",217,3020,30,2
"129",214,3021,30,2
"130",215,3022,30,2
"131",216,3023,30,2
"132",219,3024,30,2
"133",220,3025,30,2
"134",627,3025,30,6
"135",628,3025,30,6
"136",221,3026,30,2
"137",121,3026,30,1
"138",228,3027,30,2
"139",229,3028,30,2
"140",230,3029,30,2
"141",231,3030,30,2
"142",226,3030,30,2
"143",227,3030,30,2
"144",233,3031,30,2
"145",234,3032,30,2
"146",235,3033,30,2
"147",236,3034,30,2
"148",237,3035,30,2
"149",238,3036,30,2
"150",239,3037,30,2
"151",612,3038,30,6
"152",615,3039,30,6
"153",616,3040,30,6
"154",617,3041,30,6
"155",618,3042,30,6
"156",619,3043,30,6
"157",620,3044,30,6
"158",621,3045,30,6
"159",622,3046,30,6
"160",623,3047,30,6
"161",624,3048,30,6
"162",626,3049,30,6
"163",631,3050,30,6
"164",632,3051,30,6
"165",633,3052,30,6
"166",532,3053,30,5
"167",533,3054,30,5
"168",402,3401,34,4
"169",403,3403,34,4
"170",412,3403,34,4
"171",501,3405,34,5
"172",502,3407,34,5
"173",415,3412,34,4
"174",417,3413,34,4
"175",418,3414,34,4
"176",419,3415,34,4
"177",420,3416,34,4
"178",423,3417,34,4
"179",425,3418,34,4
"180",426,3419,34,4
"181",427,3420,34,4
"182",428,3421,34,4
"183",429,3422,34,4
"184",430,3423,34,4
"185",432,3424,34,4
"186",434,3425,34,4
"187",436,3426,34,4
"188",437,3427,34,4
"189",438,3428,34,4
"190",439,3429,34,4
"191",441,3430,34,4
"192",511,3431,34,5
"193",512,3432,34,5
"194",513,3433,34,5
"195",514,3434,34,5
"196",515,3435,34,5
"197",516,3436,34,5
"198",517,3437,34,5
"199",519,3438,34,5
"200",520,3439,34,5
"201",521,3440,34,5
"202",522,3441,34,5
"203",528,3442,34,5
"204",529,3442,34,5
"205",534,3446,34,5
"206",536,3447,34,5
"207",538,3448,34,5
"208",540,3449,34,5
"209",541,3450,34,5
"210",542,3451,34,5
"211",543,3452,34,5
"212",544,3453,34,5
"213",545,3454,34,5
"214",701,3801,38,7
"215",715,3802,38,7
"216",716,3802,38,7
"217",713,3802,38,7
"218",704,3803,38,7
"219",710,3804,38,7
"220",712,3805,38,7
"221",805,3806,38,8
"222",806,3807,38,8
"223",807,3808,38,8
"224",822,3808,38,8
"225",729,3811,38,7
"226",811,3812,38,8
"227",814,3813,38,8
"228",815,3814,38,8
"229",817,3815,38,8
"230",819,3816,38,8
"231",821,3817,38,8
"232",826,3818,38,8
"233",827,3819,38,8
"234",828,3820,38,8
"235",829,3821,38,8
"236",830,3822,38,8
"237",831,3823,38,8
"238",833,3824,38,8
"239",834,3825,38,8
"240",901,4201,42,9
"241",904,4202,42,9
"242",906,4203,42,9
"243",1001,4204,42,10
"244",1018,4204,42,10
"245",1017,4204,42,10
"246",1002,4205,42,10
"247",1029,4205,42,10
"248",1021,4205,42,10
"249",1003,4206,42,10
"250",1004,4207,42,10
"251",911,4211,42,9
"252",912,4212,42,9
"253",914,4213,42,9
"254",919,4214,42,9
"255",928,4214,42,9
"256",926,4215,42,9
"257",929,4217,42,9
"258",935,4218,42,9
"259",937,4219,42,9
"260",938,4220,42,9
"261",940,4221,42,9
"262",941,4222,42,9
"263",1014,4223,42,10
"264",1026,4224,42,10
"265",1032,4225,42,10
"266",1027,4225,42,10
"267",1034,4226,42,10
"268",1037,4227,42,10
"269",1046,4228,42,10
"270",1201,4601,46,12
"271",1401,4602,46,14
"272",1439,4602,46,14
"273",1211,4611,46,12
"274",1216,4612,46,12
"275",1219,4613,46,12
"276",1222,4613,46,12
"277",1221,4614,46,12
"278",1223,4616,46,12
"279",1224,4617,46,12
"280",1228,4618,46,12
"281",1231,4618,46,12
"282",1227,4618,46,12
"283",1232,4619,46,12
"284",1233,4620,46,12
"285",1235,4621,46,12
"286",1234,4621,46,12
"287",1238,4622,46,12
"288",1242,4623,46,12
"289",1243,4624,46,12
"290",1241,4624,46,12
"291",1244,4625,46,12
"292",1246,4626,46,12
"293",1245,4626,46,12
"294",1259,4626,46,12
"295",1247,4627,46,12
"296",1251,4628,46,12
"297",1252,4629,46,12
"298",1253,4630,46,12
"299",1263,4631,46,12
"300",1256,4631,46,12
"301",1260,4631,46,12
"302",1264,4632,46,12
"303",1265,4633,46,12
"304",1266,4634,46,12
"305",1411,4635,46,14
"306",1412,4636,46,14
"307",1413,4637,46,14
"308",1416,4638,46,14
"309",1418,4638,46,14
"310",1417,4639,46,14
"311",1419,4639,46,14
"312",1420,4640,46,14
"313",1421,4641,46,14
"314",1422,4642,46,14
"315",1424,4643,46,14
"316",1426,4644,46,14
"317",1428,4645,46,14
"318",1429,4645,46,14
"319",1432,4647,46,14
"320",1431,4647,46,14
"321",1430,4647,46,14
"322",1433,4647,46,14
"323",1438,4648,46,14
"324",1443,4649,46,14
"325",1445,4649,46,14
"326",1441,4649,46,14
"327",1449,4651,46,14
"328",5030,5001,50,50
"329",5004,5006,50,50
"330",5039,5006,50,50
"331",5005,5007,50,50
"332",5048,5007,50,50
"333",5051,5007,50,50
"334",5040,5007,50,50
"335",5011,5055,50,50
"336",1571,5055,50,15
"337",5012,5055,50,50
"338",5013,5056,50,50
"339",5015,5057,50,50
"340",5017,5057,50,50
"341",5018,5058,50,50
"342",5019,5058,50,50
"343",5024,5059,50,50
"344",5023,5059,50,50
"345",5016,5059,50,50
"346",5050,5060,50,50
"347",1902,5401,54,19
"348",1903,5402,54,19
"349",2012,5403,54,20
"350",2002,5404,54,20
"351",2003,5405,54,20
"352",2004,5406,54,20
"353",2017,5406,54,20
"354",1913,5412,54,19
"355",1852,5412,54,18
"356",1917,5413,54,19
"357",1919,5414,54,19
"358",1920,5415,54,19
"359",1922,5416,54,19
"360",1923,5417,54,19
"361",1924,5418,54,19
"362",1925,5419,54,19
"363",1926,5420,54,19
"364",1931,5421,54,19
"365",1927,5421,54,19
"366",1928,5421,54,19
"367",1929,5421,54,19
"368",1933,5422,54,19
"369",1936,5423,54,19
"370",1938,5424,54,19
"371",1939,5425,54,19
"372",1940,5426,54,19
"373",1941,5427,54,19
"374",1942,5428,54,19
"375",1943,5429,54,19
"376",2011,5430,54,20
"377",2014,5432,54,20
"378",2015,5433,54,20
"379",2018,5434,54,20
"380",2019,5435,54,20
"381",2020,5436,54,20
"382",2021,5437,54,20
"383",2022,5438,54,20
"384",2023,5439,54,20
"385",2024,5440,54,20
"386",2025,5441,54,20
"387",2027,5442,54,20
"388",2028,5443,54,20
"389",2030,5444,54,20
